,Title,Company,Location,Rating,Date,Salary,Description,Links
10,Data Analyst,FanDuel,"Hybrid remote in New York, NY+1 location",3.7,PostedPosted 2 days ago,"$90,000 - $115,000 a year","Strong problem solving skills, allied with track record of transforming data into actionable business insight.
Competitive compensation is just the beginning.",/rc/clk?jk=d62db15ff8000378&fccid=ada833cd00ae27d8&vjs=3
11,CDRSS Junior Data Analyst,CDC Foundation,Remote in New Jersey,4.3,PostedPosted 2 days ago,"$72,000 - $80,000 a year","Perform basic data management, data cleaning and statistical analysis using SAS, R, or other statistical programming language on COVID-19 data to complete data…",/rc/clk?jk=ceb00d69ab3a0b0a&fccid=68cab215b8a0c7b8&vjs=3
12,Entry Level Business Analyst,Microflexinfra,Remote,NaN,EmployerActive 4 days ago,"$65,000 - $85,000 a year",Business Analyst with an optimistic mindset to understand the As-Is and To-Be business process while serving as a Subject Matter Expert.,/company/Microflexinfra/jobs/Entry-Level-Business-Analyst-f2ade3af3f7212d5?fccid=f49d259b637365ec&vjs=3
13,Operations and Quality Assurance Analyst,Freshway Produce Inc,"Miami, FL 33126 (Flagami area)",NaN,EmployerActive 2 days ago,"$50,000 - $57,000 a year",The operations analyst will be able to translate data and evaluate how our company operates to develop and advise on how we can improve efficiency and…,/pagead/clk?mo=r&ad=-6NYlbfkN0D7v0lQ0hbvcjJw5B_jAKTeXV8qS0UXyzo5fvl2c-o5_HrY3QjeqO1Btmt2GoSK56AUdAGKOfT6IhQiiz2o0i80bZl7TB2gckn_GA7AzAfq8J3oaZ2TI3Zm3xrv3RN7VZqwzM89xhM3qGZ1bLdR9EK1U5bW_ulYGn1vbfot854hfc5_UCZQNa2iaW1adCKhE0M38hV8HzzHIb9T0OE1TxGD68cnPMtN53N7nswcKNCqGEgGgdB1EBMyZ3cMWI3GGA4kraAc4TWvu2a1NRmbcw624G0VGa-2cewnkALAIt_BSTBXdzo0rJr8y5tQlaI17U1rDITzoUajlVHPb7Imzby5-ZZU3vz9Dsssd9_uKImMyTi7WaVWsLKMM8Zx9YOV_dNL-_7BB890PhtE4Zz9oayIbtMaTeLbXs_M1u3_xjxuUzgD2s9MfsMqxTNPpLHFswcfJZ3Dm4wt60R3VloWZVAUfw2AtAotj-iU1ACDryi3eJSOJ6TbND4Xt9qJfiR9w4tZpvzUqFXa_CFyu0WI1zneBO_kqRmpWhxpS4I7ozQ8Vw==&xkcb=SoB6-_M3Rug1bZ2YG50PbzkdCdPP&p=13&fvj=1&vjs=3
14,Data Analyst,Housecall Pro,"Remote in Denver, CO",5.0,PostedPosted 1 day ago,"$70,000 - $75,000 a year","In this role, you are embedded in a team of data analysts, data engineers and data scientists and you'll work closely with cross-departmental teams, aimed at…",/rc/clk?jk=c4c2a23e509819a8&fccid=b75cc522790c4603&vjs=3
15,Data Analyst,Devcare Solutions,"Columbus, OH 43219 (Easton area)+4 locations",3.6,PostedPosted 2 days ago,$45 - $65 an hour,"3+ years of experience with relational databases/SQL.
Job Types: Full-time, Contract.",/company/Devcare-Solutions/jobs/Data-Analyst-9cec0ea6937c88c7?fccid=debba90512f725cc&vjs=3
16,Business Analyst (Data Migration),HCPL Global Inc.,"Remote in Columbus, OH 43081",NaN,PostedPosted 1 day ago,From $45 an hour,"*Junior - 1- 3 year experience coming from technical degree and have some finance exposure*.
*Mid-level - more than 3 coming from technical degree and have some…",/company/HCPL-Global-Inc./jobs/Business-Analyst-da20b42c264bea49?fccid=59c7b34aacf7b112&vjs=3
17,Data Analyst,Nava,+1 locationRemote,NaN,EmployerActive 1 day ago,$56.82 - $57.71 an hour,"Performing analysis to assess quality and meaning of data.
Using automated tools to extract data from primary and secondary sources.",/company/Nava/jobs/Data-Analyst-f0e0db99977bd0a4?fccid=462eacdfb7a9be76&vjs=3
18,Data Analyst-BSDA,Trivium Education Services Pvt. Ltd,+1 locationRemote,NaN,PostedToday,Up to $25 an hour,"Data Analyst: 3 years (Required).
Data Analyst: 3 years (Required).
\* Write papers and blueprints for educational institutions and Publishing companies.",/company/Trivium-Education-Services-Pvt.-Ltd/jobs/Data-Analyst-Bsda-c3c4ddf46c0f2011?fccid=e6fc9e6808f95522&vjs=3
19,Data Systems Analyst - Fully Remote,Mission Valley Bank,Remote,4.3,EmployerActive 6 days ago,"$60,000 - $68,900 a year","Maintain and enhance data warehouse and data integration initiatives.
Collaborate with business units, collecting and providing analytical data, producing…",/rc/clk?jk=99e10cf5b5bb0936&fccid=0340796b188c18c3&vjs=3
20,Junior Data Analyst,"Zartico, Inc.",Remote,NaN,PostedPosted 24 days ago,NaN,"Proven history of understanding data, finding insights and utilizing data to drive business strategy.
Comprehensive understanding of data analysis and creating…",/rc/clk?jk=2ef24544e00023cb&fccid=dd616958bd9ddc12&vjs=3
21,Data Analyst,Raag Solutions LLC,"Cupertino, CA",NaN,PostedPosted 29 days ago,$45 - $50 an hour,Foundational: Work with engineering to identify data needs for new initiatives and make sure the data pipeline is built.,/rc/clk?jk=a6922405fda1f102&fccid=8c9bc4383199682b&vjs=3
22,Data Analyst,Parsons,+1 locationRemote,3.9,PostedPosted 2 days ago,NaN,"Assist in program data management for data inputs to program data management systems.
Analyze the data management and data reporting requirements and provide…",/rc/clk?jk=d67b6d8ddba380bf&fccid=e8f998ddd15bac9c&vjs=3
23,Loyalty & Data Analyst,Cafe Rio,"Salt Lake City, UT",3.2,PostedPosted 30+ days ago,"$60,000 - $70,000 a year","A skilled and resourceful problem solver with attention to detail.
A. Use, and/or code, data warehouse queries to analyze customer data and develop customer…",/rc/clk?jk=647fc6734062086c&fccid=2064af9de38e7df5&vjs=3
24,Data Analyst,"Atmosfy, Inc",Remote,NaN,PostedPosted 30+ days ago,"$60,000 - $90,000 a year","Drive self-serve and data literacy: democratize data by building and socializing decision tools (dashboards, reports); build key data sets/pipelines to empower…",/rc/clk?jk=e7942242cccbb791&fccid=f768d1a989547912&vjs=3
25,Data Analyst,Gravy Analytics,"Remote in Sterling, VA",NaN,PostedPosted 3 days ago,"$70,000 - $90,000 a year","Demonstrated experience with production data: the ability to access data and use data extracts, construct and manipulate data sets of structured and…",/rc/clk?jk=de07f764ca5081a6&fccid=483d7512536735a7&vjs=3
26,Data Analyst,Baker Hughes,"Stafford, TX 77477+1 location",4.0,PostedPosted 21 days ago,NaN,"Works with rest of pipeline services team to efficiently process and analyze data.
Responsible for accurate and timely analysis of ultrasonic (UT) in-line…",/rc/clk?jk=548c53a9af8808f7&fccid=f4c6ba597fc7aa75&vjs=3
27,Data Analyst,"Labviva, Inc.","Boston, MA 02114 (West End area)",NaN,PostedPosted 15 days ago,NaN,"0 – 2 years of data analytics experience.
Experience of working with large data sets and high SQL fluency.
As a Data Analyst you will play an essential role in…",/rc/clk?jk=0129ccdc3e91d9eb&fccid=ff04ae306bbe143d&vjs=3
28,Business Analyst,WorkCog,Remote,NaN,EmployerActive 7 days ago,$60 - $75 an hour,"Map out process flows in existing and future payment environment.
Collaborate with Technical Product Owners or business SME’s to understand and define business…",/company/WorkCog/jobs/Business-Analyst-41dcc7f9bc9416fc?fccid=04542d75b9ce9d61&vjs=3
29,Data Analyst,CEDENT,"Reston, VA+7 locations",NaN,PostedPosted 16 days ago,NaN,"Conduct Data profiling to identify data differences between current and target state database.
R/Python able to read the script: Table and Column, able to track…",/rc/clk?jk=729b665ccfbfd279&fccid=2ecf4575019bf07a&vjs=3
30,Data Analyst,Phoenix Loss Control,Remote,4.2,EmployerActive 10 days ago,"$60,000 - $120,000 a year","Help analyze KPI report data and deduce business trends and strategy.
High level of expertise / ability manipulating and interpreting large data sets required.",/company/Phoenix-Loss-Control/jobs/Data-Analyst-53463d945e95efb9?fccid=0513731577eea882&vjs=3
31,Data Analyst with Collibra,Zora,Remote,NaN,EmployerActive 7 days ago,From $70 an hour,Leveraging existing technologies (Elation with establish connectors to all their data sources) They have the catalog.,/company/Zora-Corporation/jobs/Data-Analyst-Collibra-ca2492a20db18d07?fccid=796847869e3d24d9&vjs=3
32,Data Analyst,ABAL Technologies,Remote,2.5,EmployerActive 2 days ago,$65 - $70 an hour,"Demonstrated experience with data entry, data management and investigating in an information management system or complex database*.*.",/company/ABAL-Technologies/jobs/Data-Analyst-1ea13739319b1e5a?fccid=126fb952174f6651&vjs=3
33,Data Analyst,SRIVANGO TECHNOLOGIES,Remote,NaN,PostedPosted 30+ days ago,$60 - $70 an hour,"Building complex data sets from internally, externally: 5 years (Required).
Extracts data from various databases; performs exploratory data analysis, cleanses,…",/company/Srivango-Technologies/jobs/Data-Analyst-328641fd6ddf8a51?fccid=bf0d7df378decf86&vjs=3
34,Data Analyst - Remote,Wiliot,Remote,NaN,PostedPosted 3 days ago,NaN,"Mold real time series data stream into actional insights.
Experience with IoT data streams and business context a plus.",/rc/clk?jk=8b27baf08e30f028&fccid=ab4bc0f901c4a322&vjs=3
35,Data Analyst (Remote),Path Mental Health,"Remote in Seattle, WA",4.7,PostedPosted 30 days ago,NaN,"High focus to detail, including knowing explicit and implicit assumptions used in analyses and how that can change the answer.
What we're looking for.",/rc/clk?jk=eb7fe532e33d887a&fccid=d8ebbe8fe3f19bc6&vjs=3
36,Data Analyst - Remote,LiveMarket,Hybrid remote in Texas+1 location,NaN,PostedPosted 30+ days ago,NaN,"Develops workflows and tools that automate data loading processes and help ensure data quality and integrity.
Ensures the quality, consistency, and integrity of…",/rc/clk?jk=fe8a271cac5fd856&fccid=4e08dca8bab1c435&vjs=3
37,Data Analyst,SevenRooms,"Remote in New York, NY 10011",NaN,PostedPosted 9 days ago,"$100,000 - $110,000 a year","Investigate, troubleshoot, and solve data quality issues.
Identify critical operational questions that can be answered through new data insights.",/rc/clk?jk=801bc8063175990f&fccid=c69c12f61cc13e72&vjs=3
38,Data Operations Analyst,Allocate,Remote,NaN,EmployerActive 3 days ago,$20 an hour,"Work with data/product/engineering teammates to turn data into impactful products.
Verify the accuracy of the data.",/company/Allocate/jobs/Data-Operation-Analyst-783eea8a0cb92440?fccid=a4336c04f8e512f5&vjs=3
39,Data Quality Analyst,Neorithm Technologies Inc,Remote,NaN,EmployerActive 9 days ago,$50 - $70 an hour,"5 + years on manual testing experience.
Well organized and detail oriented with good written and verbal communication skills.",/rc/clk?cmp=smita.jain%40neorithmtechnologies.com&ti=Data+Quality+Analyst&jk=91816ded2fb64fbf&fccid=f6c96818a42d7622&vjs=3
40,Technical Data Analyst,Genuhires,Remote,NaN,EmployerActive 4 days ago,"$93,819 - $112,987 a year","Strong data analytics- understanding and interpreting data sets.
To do this, they collaborate with stakeholders to interpret business and marketing data needs…",/company/GENUHIRES/jobs/Technical-Data-Analyst-83c18dd08d1f7d85?fccid=256dad7a326be30d&vjs=3
41,Data Analyst,"Clutch Group, Inc.",Remote,5.0,PostedPosted 24 days ago,Up to $40 an hour,"Familiarity with data visualization tools.
Identify patterns and trends in data.
Collect and analyze data from various sources.",/rc/clk?jk=cda06df27736c300&fccid=c892953e2c4e4038&vjs=3
42,"Business Analyst (Data Analytics) (Remote, Des Moines, IA)",Stage 4 Solutions Inc,"Remote in Des Moines, IA+2 locations",NaN,PostedPosted 15 days ago,$40 - $45 an hour,The focus of this role is on providing consultative support in development of system enhancements in areas related to data collection and analysis including…,/rc/clk?jk=d98308232893b761&fccid=663fcf4fb2ab17e0&vjs=3
43,Entry Level Business Analyst,Asset Capital Market,Remote,NaN,EmployerActive 15 days ago,"$65,000 - $85,000 a year","*Asset Capital Market* believes that individuals, privately held, and publicly-traded firms in Tristate should experience the best underwriting and…",/company/Asset-Capital-Market/jobs/Entry-Level-Business-Analyst-aa36071209251a2e?fccid=4a06159011adabbe&vjs=3
44,Data Analyst,NET2ASPIRE,+1 locationRemote,NaN,EmployerActive 2 days ago,"$65,000 - $80,000 a year"," Responsible for the design, development and maintenance of informational dashboards, data and report development and processing applications and database…",/company/net2aspire/jobs/Data-Analyst-f9df1fcc7d5b992d?fccid=268145626d239938&vjs=3
45,Data Analyst,Color Of Change,Remote,NaN,PostedPosted 30 days ago,"$80,000 - $84,000 a year","About Color Of Change Color Of Change is the nation’s largest online racial justice organization. As a national online force driven by millions of members,…",/rc/clk?jk=ac10833a52ce2729&fccid=ac020e6752a8ac77&vjs=3
46,Data Analyst,Wilson Elser,"White Plains, NY",2.8,PostedPosted 4 days ago,"$65,000 - $85,000 a year","4/3/23 | White Plains, NY Wilson Elser’s White Plains is currently seeking a Data Analyst. This role is on site- in the White Plains office. This hands-on…",/rc/clk?jk=f806b3388a2fbfc3&fccid=ea002bfb3668b22a&vjs=3
47,Data Analyst,Dew Software,"Hybrid remote in Mountain View, CA 94041",3.0,PostedPosted 30+ days ago,Up to $65 an hour,"*Responsibilities:* ● Design and build software tools for data processing, analytics, and reporting ● Create data models and schema for analytics data ●…",/company/Dew-Software/jobs/Data-Analyst-b475655ef95ebaaa?fccid=b18a0965317fe6f5&vjs=3
48,Data Analyst,Gemini Legal Support Inc,"Hybrid remote in Rocklin, CA 95765",NaN,EmployerActive 2 days ago,"$90,000 - $112,000 a year","*Are You...* Sharp, creative, highly organized, and incredibly effective at analyzing and presenting data? *A Little Bit About Us* If you're looking for a…",/company/Gemini-Legal-Support-Inc/jobs/Data-Analyst-9e81ddcb684c8c6b?fccid=fe48ca5bfc6154e5&vjs=3
49,Clinical Data Analyst,Somatus,"Remote in McLean, VA",3.0,PostedPosted 30+ days ago,NaN,"Description: Somatus is looking for a Clinical Data Analyst to join our quickly growing organization. In this role, you will work with the Data Science and…",/rc/clk?jk=7c2a03352de79a53&fccid=0b850445aa5017dd&vjs=3
50,Data Analyst,CRED Investments,Remote,NaN,PostedPosted 30+ days ago,NaN,"CRED is a fast-growing startup helping individuals and companies to reach their full potential. We use data and intelligence to power footballers, football…",/rc/clk?jk=8d7da2dd79f099d4&fccid=b84cb9c19bb92699&vjs=3
51,"Data Analyst, Product",Jam City,"Remote in Carlsbad, CA+1 location",3.6,PostedPosted 25 days ago,"$85,000 - $128,000 a year","As a leading mobile games developer, Jam City is looking to “level up” our talent. We’re searching for innovators who consider themselves dynamic,…",/rc/clk?jk=a9e34b6e1c70ca39&fccid=92938f0e989918d3&vjs=3
52,Data Analyst - Remote,LiveMarket,Hybrid remote in Texas+1 location,NaN,PostedPosted 30+ days ago,NaN,"Work options: Flexible We have a number of opportunities that have onsite, hybrid, remote, or flexible work opportunities across the United States. Express…",/rc/clk?jk=fe8a271cac5fd856&fccid=4e08dca8bab1c435&vjs=3
53,Technical Data Analyst,The MITRE Corporation,"McLean, VA",3.9,PostedPosted 1 day ago,NaN,"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our…",/rc/clk?jk=f6875785e019f8f5&fccid=30bd8a58380c700b&vjs=3
54,Data Analyst - Health Plan Member Analytics - 100% Remote,BlueSky Technology Solutions,+1 locationRemote,NaN,PostedPosted 30+ days ago,"$80,000 - $105,000 a year","We have an immediate need for a Data Analyst with experience working in a Health Plan setting utilizing analytics to evaluate Member data (administrative, cost…",/company/Blue-Sky-Technology-Solutions-LLC/jobs/Data-Analyst-d86a67f8eb31c8d8?fccid=d44f9fa11ede97b1&vjs=3
55,Data Analyst,QuinStreet,"Remote in Foster City, CA",3.1,PostedPosted 30+ days ago,"$80,000 - $120,000 a year","Powering Performance Marketplaces in Digital Media QuinStreet is a pioneer in powering decentralized online marketplaces that match searchers and ""research…",/rc/clk?jk=d9bd19709d15e423&fccid=887caf99ec3af58f&vjs=3
